Raja2_S01, 
26/04/2013 10:42:29
Set #1

  TIME    TORQUE   POSITION    POS (ANAT)    VELOCITY
  mSec       N-M    Degrees      Degrees       DEG/SEC
     0       0.0      171.6           95          0.0
    10     -59.4      171.6           95          1.3
    20     -61.4      171.6           95          1.5
    30     -64.8      171.5           95          4.5
    40     -68.3      171.5           95          6.3
    50     -72.8      171.4           95         12.5
    60     -76.7      171.2           95         17.5
    70     -81.0      171.0           95         23.4
    80     -85.0      170.8           94         30.0
    90     -88.3      170.4           94         37.8
   100     -90.9      170.0           94         46.8
   110     -93.2      169.5           93         56.1
   120     -96.0      168.9           92         66.5
   130     -99.5      168.3           92         77.2
   140    -102.5      167.5           91         87.3
   150    -106.9      166.6           90         99.3
   160    -114.6      165.6           89        103.2
   170    -122.4      164.5           88        116.0
   180    -122.2      163.3           87        120.8
   190    -117.4      162.1           86        120.8
   200    -126.8      160.9           84        119.8
   210    -134.2      159.7           83        118.4
   220    -138.2      158.5           82        117.9
   230    -140.2      157.3           81        119.2
   240    -137.6      156.1           80        119.0
   250    -134.7      154.9           78        120.5
   260    -134.5      153.7           77        119.8
   270    -139.4      152.5           76        120.0
   280    -146.0      151.3           75        118.7
   290    -152.1      150.1           74        118.4
   300    -157.7      148.9           72        118.2
   310    -160.0      147.8           71        117.9
   320    -160.0      146.6           70        119.5
   330    -158.8      145.4           69        119.0
   340    -159.9      144.2           68        120.3
   350    -162.3      143.0           67        119.0
   360    -164.9      141.8           65        119.0
   370    -166.1      140.6           64        118.4
   380    -161.8      139.4           63        119.5
   390    -154.3      138.2           62        120.8
   400    -145.2      137.0           61        121.6
   410    -139.0      135.8           59        122.7
   420    -138.0      134.5           58        121.6
   430    -144.7      133.3           57        121.3
   440    -152.8      132.1           56        119.2
   450    -161.9      130.9           54        119.0
   460    -168.6      129.8           53        117.4
   470    -170.9      128.6           52        118.7
   480    -169.4      127.4           51        118.7
   490    -166.5      126.2           50        119.5
   500    -165.4      125.0           49        120.0
   510    -165.6      123.8           47        119.2
   520    -169.5      122.6           46        119.8
   530    -173.2      121.4           45        118.4
   540    -177.4      120.2           44        119.8
   550    -179.8      119.0           43        118.7
   560    -180.9      117.8           41        119.5
   570    -178.0      116.7           40        119.0
   580    -172.1      115.5           39        120.5
   590    -163.7      114.2           38        120.8
   600    -155.8      113.0           37        121.3
   610    -151.5      111.8           35        122.4
   620    -151.1      110.6           34        121.6
   630    -152.8      109.4           33        121.9
   640    -158.2      108.2           32        120.0
   650    -168.0      107.0           31        119.8
   660    -174.9      105.8           29        117.6
   670    -179.0      104.6           28        118.2
   680    -179.1      103.4           27        118.4
   690    -174.4      102.2           26        119.2
   700    -168.1      101.0           25        120.8
   710    -161.2       99.8           23        120.5
   720    -157.7       98.6           22        121.9
   730    -158.4       97.4           21        120.5
   740    -163.3       96.2           20        120.8
   750    -168.4       95.0           19        118.7
   760    -172.5       93.8           17        119.8
   770    -171.1       92.6           16        119.2
   780    -166.4       91.4           15        120.5
   790    -160.7       90.2           14        120.8
   800    -155.5       89.0           13        121.1
   810    -152.3       87.8           11        121.6
   820    -151.3       86.6           10        120.8
   830    -152.4       85.4            9        121.3
   840    -150.7       84.2            8        120.3
   850    -145.4       82.9            6        121.6
   860    -142.2       81.7            5        120.8
   870    -143.7       80.6            4        106.7
   880    -130.2       79.6            3         82.2
   890    -116.9       78.8            2         63.0
   900    -116.3       78.3            2         48.4
   910    -124.6       77.8            1         43.6
   920    -138.2       77.5            1         28.7
   930    -155.3       77.3            1         22.0
   940    -165.6       77.1            1         14.6
   950    -168.4       77.0            1         10.3
   960    -166.1       76.9            0          9.5
   970    -162.4       76.8            0          8.2
   980    -160.7       76.7            0          6.9
   990    -164.1       76.7            0          5.5
  1000    -173.3       76.6            0          4.7
  1010    -181.2       76.6            0          2.6
  1020    -112.0       76.9            0        -48.9
  1030     -60.3       78.0            2       -105.4
  1040     -60.9       79.3            3       -120.3
  1050     -89.9       80.4            4       -121.9
  1060    -137.1       81.7            5       -124.3
  1070    -173.2       83.0            7       -126.1
  1080    -190.0       84.2            8       -126.1
  1090    -173.6       85.5            9       -124.5
  1100    -142.9       86.7           10       -121.3
  1110    -119.1       87.9           11       -119.8
  1120    -108.8       89.1           13       -119.0
  1130    -114.6       90.3           14       -120.0
  1140    -132.9       91.5           15       -121.1
  1150    -150.0       92.7           16       -122.4
  1160    -154.7       93.9           17       -122.4
  1170    -149.0       95.2           19       -121.6
  1180    -137.9       96.4           20       -120.8
  1190    -128.1       97.6           21       -120.0
  1200    -126.0       98.8           22       -120.5
  1210    -130.2      100.0           24       -120.5
