Raja2_S01, 
26/04/2013 10:39:56
Set #1

  TIME    TORQUE   POSITION    POS (ANAT)    VELOCITY
  mSec       N-M    Degrees      Degrees       DEG/SEC
     0       0.0      181.3          105         -1.8
    10      74.9      181.1          105         21.2
    20      77.0      180.7          104         59.1
    30      76.1      179.9          103        101.6
    40      81.1      178.7          102        130.1
    50     100.9      177.5          101        131.7
    60     123.9      176.3          100        121.6
    70     139.8      175.1           99        122.7
    80     149.7      173.8           97        123.2
    90     160.6      172.6           96        122.7
   100     174.9      171.4           95        122.7
   110     189.3      170.2           94        121.9
   120     203.5      168.9           92        124.3
   130     229.3      167.7           91        125.1
   140     225.2      166.4           90        124.3
   150     216.3      165.2           89        122.9
   160     212.1      164.0           88        121.3
   170     212.5      162.8           86        120.8
   180     217.9      161.6           85        120.8
   190     230.5      160.3           84        121.9
   200     244.6      159.1           83        122.7
   210     256.8      157.9           81        123.5
   220     264.0      156.6           80        123.5
   230     267.8      155.4           79        123.2
   240     270.5      154.2           78        121.9
   250     272.4      153.0           77        121.6
   260     273.1      151.8           75        121.6
   270     274.0      150.5           74        121.9
   280     277.0      149.3           73        121.9
   290     280.8      148.1           72        122.1
   300     285.6      146.9           70        122.1
   310     291.3      145.7           69        121.3
   320     296.6      144.4           68        121.3
   330     299.9      143.2           67        121.6
   340     302.0      142.0           66        121.3
   350     301.7      140.8           64        121.9
   360     301.3      139.6           63        121.9
   370     301.3      138.4           62        121.6
   380     301.8      137.1           61        121.1
   390     301.8      135.9           59        120.3
   400     300.6      134.7           58        120.5
   410     298.6      133.5           57        121.1
   420     296.6      132.3           56        120.8
   430     295.1      131.1           55        121.3
   440     294.0      129.9           53        121.3
   450     292.8      128.7           52        121.1
   460     290.5      127.5           51        120.0
   470     286.7      126.3           50        120.0
   480     281.6      125.1           49        119.8
   490     276.6      123.9           47        120.0
   500     272.6      122.7           46        120.0
   510     269.2      121.5           45        120.8
   520     265.9      120.3           44        120.5
   530     262.8      119.1           43        119.8
   540     257.0      117.9           41        119.2
   550     248.8      116.7           40        119.2
   560     240.4      115.5           39        119.8
   570     234.2      114.3           38        119.8
   580     229.0      113.1           37        120.0
   590     225.8      111.9           35        120.5
   600     223.2      110.7           34        120.3
   610     218.5      109.5           33        119.5
   620     211.3      108.3           32        119.0
   630     201.5      107.1           31        119.2
   640     190.5      105.9           29        119.2
   650     181.0      104.7           28        119.5
   660     175.2      103.5           27        119.8
   670     172.2      102.3           26        119.8
   680     171.4      101.1           25        119.8
   690     170.0       99.9           23        119.2
   700     166.0       98.7           22        119.8
   710     158.0       97.5           21        119.8
   720     148.6       96.3           20        120.0
   730     139.8       95.1           19        119.8
   740     132.8       93.9           17        119.8
   750     127.2       92.7           16        119.8
   760     123.5       91.5           15        119.2
   770     119.3       90.4           14        119.2
   780     114.4       89.2           13        119.0
   790     108.5       88.0           12        119.2
   800     101.2       86.8           10        119.0
   810      92.6       85.6            9        119.0
   820      83.7       84.4            8        118.7
   830      74.2       83.2            7        118.4
   840      63.9       82.0            6        117.9
   850      53.0       80.9            4        116.6
   860      41.5       79.7            3        114.7
   870      31.6       78.6            2        116.3
   880      23.1       77.8            1         81.9
   890     -26.0       77.1            1         57.7
   900     -45.4       76.6            0         51.6
   910     -71.3       76.2            0         31.1
   920     -95.3       76.1            0          2.3
   930     -62.2       76.3            0        -26.6
   940     -54.1       77.0            1        -66.8
   950     -33.8       78.0            2       -102.7
   960     -41.9       79.2            3       -107.2
   970     -77.3       80.5            4       -121.3
   980    -109.6       81.7            5       -123.2
   990    -111.2       82.9            6       -122.9
  1000    -140.3       84.2            8       -124.3
  1010    -153.2       85.4            9       -125.1
  1020    -148.2       86.6           10       -123.5
  1030    -131.4       87.9           11       -121.9
  1040    -115.7       89.1           13       -120.3
  1050    -116.2       90.3           14       -120.5
  1060    -132.6       91.5           15       -121.6
  1070    -148.5       92.7           16       -122.7
  1080    -155.1       93.9           17       -122.7
  1090    -153.0       95.2           19       -122.1
  1100    -145.2       96.4           20       -121.3
  1110    -139.1       97.6           21       -120.8
  1120    -139.0       98.8           22       -121.1
  1130    -144.1      100.0           24       -121.1
  1140    -148.3      101.2           25       -121.6
  1150    -149.8      102.4           26       -121.1
  1160    -147.0      103.6           27       -121.3
  1170    -142.4      104.9           28       -120.8
  1180    -139.5      106.1           30       -120.5
  1190    -139.7      107.3           31       -120.5
  1200    -142.5      108.5           32       -121.1
  1210    -145.2      109.7           33       -121.3
  1220    -145.1      110.9           34       -121.3
  1230    -142.7      112.1           36       -121.1
  1240    -139.3      113.3           37       -120.3
  1250    -137.4      114.5           38       -120.5
  1260    -138.6      115.7           39       -120.5
  1270    -141.6      116.9           40       -121.1
  1280    -144.5      118.2           42       -121.1
  1290    -145.2      119.4           43       -121.3
  1300    -143.5      120.6           44       -121.1
  1310    -141.3      121.8           45       -120.5
  1320    -139.7      123.0           47       -120.5
  1330    -139.8      124.2           48       -120.5
  1340    -140.3      125.4           49       -120.8
  1350    -141.6      126.6           50       -120.8
  1360    -141.7      127.8           51       -121.3
  1370    -141.3      129.0           53       -120.8
  1380    -140.3      130.3           54       -120.8
  1390    -139.1      131.5           55       -120.5
  1400    -138.3      132.7           56       -120.5
  1410    -137.9      133.9           57       -120.5
  1420    -137.8      135.1           59       -121.1
  1430    -137.6      136.3           60       -120.8
  1440    -137.1      137.5           61       -121.1
  1450    -136.0      138.7           62       -120.8
  1460    -135.1      139.9           63       -120.5
  1470    -133.6      141.1           65       -120.8
  1480    -132.9      142.3           66       -120.3
  1490    -132.2      143.5           67       -120.5
  1500    -132.2      144.7           68       -120.8
  1510    -132.9      146.0           70       -120.8
  1520    -132.2      147.2           71       -120.8
  1530    -131.0      148.4           72       -120.5
  1540    -128.5      149.6           73       -120.5
  1550    -126.7      150.8           74       -120.3
  1560    -126.0      152.0           76       -120.5
  1570    -126.5      153.2           77       -120.5
  1580    -126.8      154.4           78       -120.8
  1590    -126.4      155.6           79       -120.5
  1600    -124.9      156.8           80       -120.8
  1610    -123.0      158.0           82       -120.5
  1620    -121.0      159.2           83       -120.5
  1630    -120.0      160.4           84       -120.5
  1640    -118.8      161.6           85       -120.5
  1650    -117.7      162.9           86       -120.8
  1660    -116.5      164.1           88       -120.8
  1670    -113.9      165.3           89       -120.8
  1680    -110.5      166.5           90       -120.3
  1690    -106.7      167.7           91       -120.3
  1700    -102.8      168.9           92       -120.0
  1710     -98.6      170.1           94       -120.3
  1720     -94.6      171.3           95       -120.3
  1730     -89.9      172.5           96       -120.3
  1740     -85.2      173.7           97       -120.3
  1750     -79.6      174.9           98       -120.0
  1760     -73.0      176.1          100       -119.8
  1770     -66.7      177.3          101       -119.2
  1780     -60.5      178.5          102       -129.6
  1790     -65.9      179.4          103        -96.6
  1800     -76.3      180.3          104        -67.8
  1810     -77.3      180.9          104        -59.3
  1820     -64.7      181.4          105        -40.1
  1830     -45.8      181.7          105        -36.2
  1840     -28.3      182.0          106        -24.2
  1850     -12.2      182.2          106        -15.9
  1860       0.0      182.3          106        -14.1
  1870       0.0      182.4          106        -10.1
  1880      11.3      182.5          106         -6.6
  1890      39.5      182.5          106          2.6
  1900      62.4      182.4          106         18.1
  1910      78.9      182.0          106         53.2
  1920      92.8      181.2          105         95.8
  1930      98.3      180.0          104        129.6
  1940     113.8      178.8          102        132.8
  1950     126.7      177.6          101        133.9
  1960     153.0      176.4          100        122.7
  1970     176.7      175.1           99        124.8
  1980     211.4      173.9           97        125.9
  1990     220.5      172.6           96        124.5
  2000     218.6      171.4           95        123.7
  2010     204.6      170.1           94        122.4
  2020     192.6      168.9           92        121.3
  2030     193.9      167.7           91        121.3
