"Status","Time(Seconds)","Position(Degrees)","Torque(Newton-Meters)","Speed(deg/sec)"
"0005","0.000","90.188","3.020","0.000"
"0005","0.010","90.188","3.020","0.000"
"0005","0.020","90.188","3.020","0.000"
"0005","0.030","90.188","3.020","0.000"
"0005","0.040","90.188","3.020","0.000"
"0005","0.050","90.188","3.043","0.000"
"0005","0.060","90.188","3.043","0.000"
"0005","0.070","90.188","3.043","0.000"
"0005","0.080","90.188","3.043","0.000"
"0005","0.090","90.188","3.043","0.000"
"0005","0.100","90.188","3.043","0.000"
"0005","0.110","90.188","3.043","0.000"
"0005","0.120","90.188","3.043","0.000"
"0005","0.130","90.188","3.043","0.000"
"0005","0.140","90.188","3.020","0.000"
"0005","0.150","90.188","3.020","0.000"
"0005","0.160","90.188","3.020","0.000"
"0005","0.170","90.188","2.998","0.000"
"0005","0.180","90.188","2.998","0.000"
"0005","0.190","90.188","3.020","0.000"
"0005","0.200","90.188","3.020","0.000"
"0005","0.210","90.188","3.043","0.000"
"0005","0.220","90.188","3.043","0.000"
"0005","0.230","90.188","3.043","0.000"
"0005","0.240","90.188","3.043","0.000"
"0005","0.250","90.188","3.043","0.000"
"0005","0.260","90.188","3.043","0.000"
"0005","0.270","90.188","3.043","0.000"
"0005","0.280","90.188","3.043","0.000"
"0005","0.290","90.188","3.043","0.000"
"0005","0.300","90.188","3.043","0.000"
"0005","0.310","90.188","3.065","0.000"
"0005","0.320","90.125","3.059","0.000"
"0005","0.330","90.125","3.059","0.000"
"0005","0.340","90.125","3.059","0.000"
"0005","0.350","90.125","3.059","0.000"
"0005","0.360","90.188","3.088","0.000"
"0005","0.370","90.188","3.088","0.000"
"0005","0.380","90.188","3.088","0.000"
"0005","0.390","90.188","3.088","0.000"
"0005","0.400","90.188","3.110","0.000"
"0005","0.410","90.188","3.110","0.000"
"0005","0.420","90.188","3.132","0.000"
"0005","0.430","90.188","3.110","0.000"
"0005","0.440","90.188","3.110","0.000"
"0005","0.450","90.188","3.088","0.000"
"0005","0.460","90.188","3.088","0.000"
"0005","0.470","90.188","3.088","0.000"
"0005","0.480","90.188","3.088","0.000"
"0005","0.490","90.188","3.088","0.000"
"0005","0.500","90.188","3.088","0.000"
"0005","0.510","90.188","3.065","0.000"
"0005","0.520","90.188","3.043","0.000"
"0005","0.530","90.188","2.998","0.000"
"0005","0.540","90.188","2.908","0.000"
"0001","0.550","90.188","2.707","0.000"
"0001","0.560","90.188","2.214","0.000"
"0001","0.570","90.188","1.810","0.000"
"0001","0.580","90.188","1.429","0.000"
"0001","0.590","90.188","1.093","0.000"
"0001","0.600","90.125","0.550","0.000"
"0001","0.610","90.125","0.638","-0.313"
"0001","0.620","90.125","2.857","-1.063"
"0001","0.630","90.125","7.430","-3.313"
"0001","0.640","90.063","10.663","-6.188"
"0001","0.650","90.000","13.314","-11.375"
"0001","0.660","89.875","15.612","-18.625"
"0001","0.670","89.563","20.505","-29.313"
"0001","0.680","89.250","25.690","-34.875"
"0001","0.690","88.938","32.130","-39.500"
"0001","0.700","88.563","39.563","-43.375"
"0001","0.710","87.938","51.524","-47.750"
"0001","0.720","87.500","59.926","-50.000"
"0001","0.730","87.063","68.843","-51.875"
"0001","0.740","86.375","83.297","-54.125"
"0001","0.750","85.875","92.915","-55.250"
